date,amount,description
2025-01-15,45.50,Coffee at Main Street Cafe
2025-01-16,-120.00,Grocery shopping
2025-01-17,2500.00,Monthly salary deposit
2025-01-18,-65.00,Gas station fill-up
2025-01-19,-35.20,Lunch at downtown restaurant
2025-01-20,50.00,Refund for returned item
2025-01-21,-89.99,Internet bill payment
2025-01-22,-12.50,Book purchase
2025-01-23,100.00,Freelance payment received
2025-01-24,-200.00,Rent payment
2025-01-25,-45.00,Pharmacy prescription
2025-01-26,25.00,Cash back from store
2025-01-27,-78.50,Dinner with friends
2025-01-28,-15.00,Streaming subscription
2025-01-29,-250.00,Car insurance payment
